Framework,Case,surf_type,GNNLayers,Metric,Average,StdDev,P-value
cortexode,baseline,gm,0,Chamfer Distance,5.173967463005491,0.17472304248895776,
cortexode,baseline,gm,0,Hausdorff Distance,7.005055045981663,0.7446602771204379,
cortexode,baseline,gm,0,Self-Intersections (SIF),822.6915887850467,425.9998331236262,
cortexode,baseline,wm,0,Chamfer Distance,0.7660166974677641,0.013772085176583985,
cortexode,baseline,wm,0,Hausdorff Distance,4.984935972084058,1.3691335862178187,
cortexode,baseline,wm,0,Self-Intersections (SIF),1.5,3.5000836390140275,
csrp,separate,gm,4,Chamfer Distance,5.151729013097393,0.17641255153111673,3.287508333038321e-06
csrp,separate,gm,4,Hausdorff Distance,7.191988790289088,0.7468761813068772,0.6124412490764155
csrp,separate,gm,4,Self-Intersections (SIF),6906.602803738318,2309.4602211027477,0.26067394329327115
csrp,separate,gm,8,Chamfer Distance,5.160038585621172,0.1730937197838951,0.0698633205150628
csrp,separate,gm,8,Hausdorff Distance,7.2608749916072135,0.7815936772581942,0.10568393992532556
csrp,separate,gm,8,Self-Intersections (SIF),8078.042056074766,2986.188270671216,5.004398191530828e-05
csrp,separate,wm,4,Chamfer Distance,0.7492331160075012,0.014220758637315077,1.416153533155488e-246
csrp,separate,wm,4,Hausdorff Distance,4.977494215394147,1.3746123213872286,0.13158630724605053
csrp,separate,wm,4,Self-Intersections (SIF),86.28971962616822,104.73987535825057,1.1982900317733336e-14
csrp,separate,wm,8,Chamfer Distance,0.7527334823876781,0.014240059534972687,3.243666154013099e-287
csrp,separate,wm,8,Hausdorff Distance,4.9853587401984925,1.3877575267377846,0.08471631088908521
csrp,separate,wm,8,Self-Intersections (SIF),76.30373831775701,103.67163892962112,7.772431416965994e-15
csrp,unified,gm,4,Chamfer Distance,5.076711545451396,0.15139033632530963,3.287508333038321e-06
csrp,unified,gm,4,Hausdorff Distance,7.231351116897451,0.8557020477549317,0.6124412490764155
csrp,unified,gm,4,Self-Intersections (SIF),7167.164319248826,2467.9581080058515,0.26067394329327115
csrp,unified,gm,8,Chamfer Distance,5.188763263649179,0.15292333309042921,0.0698633205150628
csrp,unified,gm,8,Hausdorff Distance,7.381730987410878,0.7585809527609991,0.10568393992532556
csrp,unified,gm,8,Self-Intersections (SIF),9217.821596244132,2757.546671820307,5.004398191530828e-05
csrp,unified,wm,4,Chamfer Distance,0.8549718046552769,0.015025826868203276,1.416153533155488e-246
csrp,unified,wm,4,Hausdorff Distance,5.180326215856818,1.4027653477345456,0.13158630724605053
csrp,unified,wm,4,Self-Intersections (SIF),22.41588785046729,47.40664094350125,1.1982900317733336e-14
csrp,unified,wm,8,Chamfer Distance,0.8883654889356208,0.015359380414409783,3.243666154013099e-287
csrp,unified,wm,8,Hausdorff Distance,5.220850704931106,1.4313147470341787,0.08471631088908521
csrp,unified,wm,8,Self-Intersections (SIF),14.289719626168225,36.98775570674018,7.772431416965994e-15
